Sr. No.,Symbol,Company Name
538,HEG,HEG Limited
539,CHEMPLASTS,Chemplast Sanmar Limited
540,ARVIND,Arvind Limited
541,RCF,Rashtriya Chemicals and Fertilizers Limited
542,NAVA,NAVA LIMITED
543,ALLCARGO,Allcargo Logistics Limited
544,ICIL,Indo Count Industries Limited
545,IWEL,Inox Wind Energy Limited
546,KNRCON,KNR Constructions Limited
547,FDC,FDC Limited
548,RELIGARE,Religare Enterprises Limited
549,GRAVITA,Gravita India Limited
550,RUSTOMJEE,Keystone Realtors Limited
551,MARKSANS,Marksans Pharma Limited
552,NIITMTS,NIIT Learning Systems Limited
553,AHLUCONT,Ahluwalia Contracts (India) Limited
554,JUSTDIAL,Just Dial Limited
555,TRIVENI,Triveni Engineering & Industries Limited
556,TVSSCS,TVS Supply Chain Solutions Limited
557,GARFIBRES,Garware Technical Fibres Limited
558,VESUVIUS,Vesuvius India Limited
559,SAREGAMA,Saregama India Limited
560,DBL,Dilip Buildcon Limited
561,INDIASHLTR,India Shelter Finance Corporation Limited
562,BLUEJET,Blue Jet Healthcare Limited
563,BALAMINES,Balaji Amines Limited
564,ISGEC,Isgec Heavy Engineering Limited
565,AVANTIFEED,Avanti Feeds Limited
566,INDIACEM,The India Cements Limited
567,BECTORFOOD,Mrs. Bectors Food Specialities Limited
568,CAMPUS,Campus Activewear Limited
569,LTFOODS,LT Foods Limited
570,VIJAYA,Vijaya Diagnostic Centre Limited
571,GOCOLORS,Go Fashion (India) Limited
572,BORORENEW,BOROSIL RENEWABLES LIMITED
573,LXCHEM,Laxmi Organic Industries Limited
574,GREENLAM,Greenlam Industries Limited
575,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
576,CMSINFO,CMS Info Systems Limited
577,KRBL,KRBL Limited
578,ETHOSLTD,Ethos Limited
579,TEXRAIL,Texmaco Rail & Engineering Limited
580,TCI,Transport Corporation of India Limited
581,IBREALEST,Indiabulls Real Estate Limited
582,JINDWORLD,Jindal Worldwide Limited
583,EMUDHRA,eMudhra Limited
584,PDSL,PDS Limited
585,GANESHHOUC,Ganesh Housing Corporation Limited
586,CSBBANK,CSB Bank Limited
587,SHAREINDIA,Share India Securities Limited
588,IFBIND,IFB Industries Limited
589,PRINCEPIPE,Prince Pipes And Fittings Limited
590,VAIBHAVGBL,Vaibhav Global Limited
591,ARVINDFASN,Arvind Fashions Limited
592,EDELWEISS,Edelweiss Financial Services Limited
593,SENCO,Senco Gold Limited
